SNo,Year,State_UT,City,Road_Classification,Mode_of_Transport,Total_Accidents,Persons_Injured,Persons_Killed,Accident_Cause,Time_of_Accident,Road_Condition,Light_Condition,Weather_Condition,Injury_Severity,Junction_Type,Source
41,2020,Jharkhand,Jharkhand,State Highway,Auto-Rickshaw,1965,4725,115,Use of Mobile Phone,21:00-24:00,Potholed,Dark - Street Light On,Clear,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
42,2020,Andhra Pradesh,Vijayawada,National Highway,Truck/Lorry,6851,14792,2157,Poor Weather Visibility,15:00-18:00,Potholed,Dark - Street Light On,Rainy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
43,2020,Nagaland,Nagaland,State Highway,Two-Wheeler,1492,1603,334,Tyre Burst,21:00-24:00,Under Repair,Dark - No Street Light,Foggy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
44,2021,Daman & Diu,Daman & Diu,State Highway,Truck/Lorry,6041,5158,1286,Bad Road Condition,00:00-06:00,Under Repair,Dark - No Street Light,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
45,2019,Madhya Pradesh,Indore,Expressway,Auto-Rickshaw,5178,8408,1186,Drunk Driving,06:00-09:00,Wet,Dark - No Street Light,Misty,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
46,2021,Puducherry,Puducherry,Other Roads,Car/Jeep/Taxi,10598,25684,836,Poor Weather Visibility,15:00-18:00,Under Repair,Dusk/Dawn,Misty,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
47,2022,Sikkim,Sikkim,National Highway,Two-Wheeler,3492,3619,515,Use of Mobile Phone,21:00-24:00,Under Repair,Dark - Street Light On,Rainy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
48,2023,Bihar,Gaya,Other Roads,Bus,3668,5620,809,Bad Road Condition,15:00-18:00,Wet,Dark - Street Light On,Cloudy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
49,2021,Uttar Pradesh,Varanasi,Other Roads,Auto-Rickshaw,9360,17400,572,Wrong Side Driving,12:00-15:00,Under Repair,Dark - Street Light On,Misty,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
50,2019,Gujarat,Vadodara,Expressway,Auto-Rickshaw,982,1737,205,Fatigue/Sleep,15:00-18:00,Wet,Dark - Street Light On,Foggy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
51,2020,Arunachal Pradesh,Arunachal Pradesh,Expressway,Car/Jeep/Taxi,1787,3655,475,Poor Weather Visibility,09:00-12:00,Under Repair,Dusk/Dawn,Cloudy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
52,2023,Uttarakhand,Uttarakhand,State Highway,Others,805,2001,88,Tyre Burst,06:00-09:00,Under Repair,Dark - Street Light On,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
53,2021,Kerala,Thiruvananthapuram,City Roads,Truck/Lorry,11870,28736,3120,Use of Mobile Phone,15:00-18:00,Potholed,Dark - Street Light On,Rainy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
54,2020,Gujarat,Rajkot,State Highway,Two-Wheeler,5256,8433,410,Jumping Red Light,21:00-24:00,Wet,Dark - No Street Light,Misty,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
55,2021,Puducherry,Puducherry,Other Roads,Truck/Lorry,9677,16239,915,Jumping Red Light,00:00-06:00,Flooded,Dusk/Dawn,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
56,2021,Bihar,Gaya,Other Roads,Truck/Lorry,5915,6318,503,Fatigue/Sleep,00:00-06:00,Potholed,Daylight,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
57,2021,Manipur,Manipur,Other Roads,Others,11250,19938,839,Jumping Red Light,06:00-09:00,Wet,Dusk/Dawn,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
58,2022,Maharashtra,Pune,City Roads,Bicycle,4435,10013,821,Wrong Side Driving,21:00-24:00,Dry,Dark - Street Light On,Foggy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
59,2022,Dadra & Nagar Haveli,Dadra & Nagar Haveli,National Highway,Two-Wheeler,8338,16694,2333,Poor Weather Visibility,06:00-09:00,Wet,Daylight,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
60,2021,Chandigarh,Chandigarh,Other Roads,Others,9833,23005,1267,Bad Road Condition,15:00-18:00,Under Repair,Daylight,Clear,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
61,2019,Sikkim,Sikkim,Other Roads,Pedestrian,9871,9959,2064,Use of Mobile Phone,09:00-12:00,Flooded,Dark - No Street Light,Misty,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
62,2023,Odisha,Rourkela,State Highway,Auto-Rickshaw,8858,22120,2701,Wrong Side Driving,12:00-15:00,Dry,Dark - No Street Light,Misty,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
63,2022,Uttar Pradesh,Meerut,State Highway,Pedestrian,11913,27349,2669,Tyre Burst,21:00-24:00,Flooded,Dusk/Dawn,Foggy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
64,2019,Jharkhand,Jharkhand,State Highway,Car/Jeep/Taxi,1532,2196,234,Drunk Driving,12:00-15:00,Flooded,Dark - No Street Light,Foggy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
65,2019,Bihar,Gaya,Other Roads,Others,8327,17574,2502,Vehicle Defect,00:00-06:00,Under Repair,Dusk/Dawn,Misty,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
66,2023,Karnataka,Bengaluru,City Roads,Bus,6694,14518,2247,Improper Lane Changing,09:00-12:00,Flooded,Dark - No Street Light,Foggy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
67,2022,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Expressway,Bus,997,2397,337,Tyre Burst,15:00-18:00,Dry,Dusk/Dawn,Misty,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
68,2023,Himachal Pradesh,Himachal Pradesh,Expressway,Pedestrian,2182,3954,354,Drunk Driving,12:00-15:00,Flooded,Dusk/Dawn,Clear,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
69,2020,Puducherry,Puducherry,Expressway,Two-Wheeler,10800,11939,1652,Vehicle Defect,06:00-09:00,Flooded,Dark - No Street Light,Clear,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
70,2023,Kerala,Kochi,City Roads,Pedestrian,3685,7149,1144,Fatigue/Sleep,09:00-12:00,Dry,Daylight,Clear,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
71,2023,Assam,Silchar,Other Roads,Bicycle,10284,12190,1011,Tyre Burst,21:00-24:00,Flooded,Dusk/Dawn,Misty,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
72,2023,Ladakh,Ladakh,City Roads,Pedestrian,7191,9046,2027,Vehicle Defect,15:00-18:00,Dry,Daylight,Cloudy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
73,2023,Haryana,Rohtak,City Roads,Auto-Rickshaw,6301,5064,1902,Improper Lane Changing,12:00-15:00,Dry,Dusk/Dawn,Clear,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
74,2023,Puducherry,Puducherry,Expressway,Bus,6896,6078,1883,Fatigue/Sleep,12:00-15:00,Under Repair,Daylight,Cloudy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
75,2021,Himachal Pradesh,Himachal Pradesh,Expressway,Two-Wheeler,62,152,3,Fatigue/Sleep,18:00-21:00,Potholed,Daylight,Foggy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
76,2020,West Bengal,Kolkata,National Highway,Bicycle,10391,8545,2526,Poor Weather Visibility,21:00-24:00,Dry,Dark - No Street Light,Foggy,Grievous Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
77,2023,Uttarakhand,Uttarakhand,Other Roads,Pedestrian,10571,9825,1854,Wrong Side Driving,21:00-24:00,Potholed,Daylight,Foggy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
78,2020,Rajasthan,Udaipur,Other Roads,Truck/Lorry,7049,9594,2224,Vehicle Defect,06:00-09:00,Wet,Dark - Street Light On,Misty,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
79,2022,Himachal Pradesh,Himachal Pradesh,National Highway,Two-Wheeler,5644,13776,1543,Improper Lane Changing,18:00-21:00,Potholed,Daylight,Foggy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
80,2020,Uttar Pradesh,Meerut,Other Roads,Pedestrian,10020,17038,782,Tyre Burst,15:00-18:00,Wet,Dusk/Dawn,Rainy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
81,2020,Mizoram,Mizoram,City Roads,Bicycle,2094,3319,203,Tyre Burst,06:00-09:00,Potholed,Daylight,Rainy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
82,2021,Haryana,Rohtak,State Highway,Bicycle,8258,12437,2787,Jumping Red Light,12:00-15:00,Potholed,Dark - Street Light On,Cloudy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
83,2021,West Bengal,Howrah,National Highway,Car/Jeep/Taxi,4721,4428,662,Over Speeding,09:00-12:00,Flooded,Daylight,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
84,2020,Jharkhand,Jharkhand,State Highway,Bus,6821,13372,2004,Drunk Driving,12:00-15:00,Under Repair,Dark - No Street Light,Misty,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
85,2019,Uttar Pradesh,Agra,Expressway,Bicycle,10444,13468,2390,Over Speeding,00:00-06:00,Wet,Dark - No Street Light,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
86,2020,Andhra Pradesh,Guntur,Other Roads,Bus,11784,19074,2038,Wrong Side Driving,18:00-21:00,Potholed,Dark - Street Light On,Rainy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
87,2020,Sikkim,Sikkim,National Highway,Two-Wheeler,9224,22006,1092,Over Speeding,00:00-06:00,Dry,Dusk/Dawn,Cloudy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
88,2021,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Other Roads,Bus,2943,4890,1007,Bad Road Condition,12:00-15:00,Flooded,Daylight,Misty,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
89,2019,Odisha,Rourkela,National Highway,Truck/Lorry,1445,1463,78,Drunk Driving,21:00-24:00,Dry,Dusk/Dawn,Clear,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
90,2019,Bihar,Bhagalpur,City Roads,Bicycle,615,798,38,Use of Mobile Phone,00:00-06:00,Under Repair,Dark - Street Light On,Misty,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
91,2023,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Expressway,Auto-Rickshaw,6263,11695,364,Bad Road Condition,12:00-15:00,Dry,Dusk/Dawn,Clear,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
92,2021,Bihar,Muzaffarpur,National Highway,Auto-Rickshaw,10635,12846,2539,Jumping Red Light,15:00-18:00,Dry,Dark - No Street Light,Clear,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
93,2022,Jammu & Kashmir,Jammu,City Roads,Two-Wheeler,1463,2422,311,Wrong Side Driving,12:00-15:00,Dry,Dark - No Street Light,Cloudy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
94,2023,Arunachal Pradesh,Arunachal Pradesh,State Highway,Two-Wheeler,5800,6947,825,Jumping Red Light,21:00-24:00,Flooded,Daylight,Rainy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
95,2023,Punjab,Patiala,National Highway,Truck/Lorry,1827,3417,147,Poor Weather Visibility,18:00-21:00,Flooded,Daylight,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
96,2019,Daman & Diu,Daman & Diu,National Highway,Auto-Rickshaw,10532,15780,1778,Tyre Burst,21:00-24:00,Dry,Daylight,Misty,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
97,2022,Chhattisgarh,Bilaspur,Other Roads,Auto-Rickshaw,10433,25035,3643,Jumping Red Light,15:00-18:00,Under Repair,Dark - Street Light On,Cloudy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
98,2021,Haryana,Gurgaon,Expressway,Two-Wheeler,11144,24287,3397,Drunk Driving,09:00-12:00,Dry,Daylight,Clear,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
99,2022,Himachal Pradesh,Himachal Pradesh,City Roads,Bicycle,4999,5973,417,Drunk Driving,12:00-15:00,Flooded,Dark - No Street Light,Foggy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
100,2022,Uttarakhand,Uttarakhand,Other Roads,Truck/Lorry,6336,10964,1861,Drunk Driving,12:00-15:00,Wet,Dark - No Street Light,Rainy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
101,2023,Puducherry,Puducherry,Expressway,Auto-Rickshaw,6268,7889,1886,Fatigue/Sleep,18:00-21:00,Wet,Dark - Street Light On,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
102,2022,Uttar Pradesh,Noida,City Roads,Others,1417,3076,148,Use of Mobile Phone,21:00-24:00,Wet,Dark - Street Light On,Foggy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
103,2019,Lakshadweep,Lakshadweep,City Roads,Auto-Rickshaw,1124,1811,389,Drunk Driving,15:00-18:00,Wet,Dusk/Dawn,Cloudy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
104,2022,Ladakh,Ladakh,National Highway,Bus,7344,14487,2318,Improper Lane Changing,21:00-24:00,Flooded,Dark - No Street Light,Misty,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
105,2022,Jammu & Kashmir,Srinagar,Expressway,Car/Jeep/Taxi,8494,10474,2652,Use of Mobile Phone,12:00-15:00,Dry,Dark - Street Light On,Misty,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
106,2021,Chandigarh,Chandigarh,Expressway,Others,7258,7851,1424,Improper Lane Changing,12:00-15:00,Potholed,Dark - No Street Light,Misty,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
107,2019,Odisha,Rourkela,Expressway,Car/Jeep/Taxi,5125,8642,1420,Jumping Red Light,00:00-06:00,Dry,Dark - Street Light On,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
108,2021,Madhya Pradesh,Jabalpur,Other Roads,Two-Wheeler,1085,890,149,Use of Mobile Phone,00:00-06:00,Wet,Dark - Street Light On,Foggy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
109,2021,Telangana,Warangal,Expressway,Auto-Rickshaw,11390,18478,1196,Jumping Red Light,18:00-21:00,Wet,Dark - No Street Light,Foggy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
110,2021,Puducherry,Puducherry,City Roads,Bus,9644,12484,1520,Over Speeding,00:00-06:00,Flooded,Dark - Street Light On,Cloudy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
111,2023,Nagaland,Nagaland,City Roads,Bicycle,10523,12800,1488,Use of Mobile Phone,06:00-09:00,Flooded,Daylight,Rainy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
112,2023,Manipur,Manipur,Expressway,Car/Jeep/Taxi,1005,2258,330,Vehicle Defect,21:00-24:00,Under Repair,Dark - Street Light On,Rainy,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
113,2022,West Bengal,Kolkata,City Roads,Car/Jeep/Taxi,966,2079,175,Use of Mobile Phone,12:00-15:00,Wet,Dark - Street Light On,Clear,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
114,2020,Goa,Goa,Other Roads,Truck/Lorry,3135,4766,494,Bad Road Condition,15:00-18:00,Under Repair,Dark - No Street Light,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
115,2022,Sikkim,Sikkim,State Highway,Bus,1986,3624,328,Improper Lane Changing,21:00-24:00,Potholed,Dark - Street Light On,Misty,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
116,2021,Daman & Diu,Daman & Diu,Other Roads,Car/Jeep/Taxi,494,473,142,Fatigue/Sleep,15:00-18:00,Wet,Dark - Street Light On,Cloudy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
117,2023,Andaman & Nicobar Islands,Andaman & Nicobar Islands,National Highway,Car/Jeep/Taxi,4083,4432,1100,Vehicle Defect,06:00-09:00,Potholed,Dark - Street Light On,Cloudy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
118,2021,Delhi,South Delhi,Other Roads,Bus,4787,11839,1120,Jumping Red Light,15:00-18:00,Potholed,Dusk/Dawn,Clear,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
119,2023,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Other Roads,Others,221,214,45,Improper Lane Changing,12:00-15:00,Flooded,Dark - No Street Light,Misty,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
120,2019,Jharkhand,Jharkhand,State Highway,Truck/Lorry,10640,24540,1064,Jumping Red Light,18:00-21:00,Dry,Dusk/Dawn,Clear,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
121,2021,Kerala,Kochi,National Highway,Pedestrian,1759,3951,509,Vehicle Defect,15:00-18:00,Potholed,Dark - No Street Light,Misty,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
122,2023,Haryana,Panipat,State Highway,Others,1312,2864,82,Drunk Driving,06:00-09:00,Dry,Dark - No Street Light,Rainy,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
123,2020,Kerala,Kozhikode,State Highway,Car/Jeep/Taxi,778,838,229,Fatigue/Sleep,09:00-12:00,Flooded,Dark - No Street Light,Foggy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
